04-06-23 13:41:start training cifar10_resnet_38
04-06-23 13:41:Iter [0] learning rate = 0.1
04-06-23 13:42:Iter: [0/64000]	Time 3.720 (3.720)	Data 0.423 (0.423)	Loss 3.370 (3.370)	Prec@1 10.938 (10.938)	
04-06-23 13:42:Iter: [10/64000]	Time 0.705 (0.984)	Data 0.662 (0.643)	Loss 2.536 (3.106)	Prec@1 10.938 (12.003)	
04-06-23 13:42:Iter: [20/64000]	Time 0.722 (0.855)	Data 0.670 (0.653)	Loss 2.280 (2.751)	Prec@1 10.156 (12.463)	
04-06-23 13:42:Iter: [30/64000]	Time 0.655 (0.805)	Data 0.611 (0.654)	Loss 2.292 (2.609)	Prec@1 10.156 (12.298)	
04-06-23 13:42:Iter: [40/64000]	Time 0.669 (0.776)	Data 0.625 (0.651)	Loss 2.141 (2.504)	Prec@1 18.750 (13.224)	
04-06-23 13:42:Iter: [50/64000]	Time 0.739 (0.759)	Data 0.678 (0.649)	Loss 2.097 (2.429)	Prec@1 18.750 (14.078)	
04-06-23 13:42:Iter: [60/64000]	Time 0.728 (0.749)	Data 0.671 (0.649)	Loss 2.132 (2.377)	Prec@1 22.656 (14.754)	
04-06-23 13:42:Iter: [70/64000]	Time 0.695 (0.738)	Data 0.650 (0.646)	Loss 2.024 (2.337)	Prec@1 23.438 (15.658)	
04-06-23 13:42:Iter: [80/64000]	Time 0.656 (0.734)	Data 0.611 (0.647)	Loss 2.091 (2.300)	Prec@1 19.531 (16.271)	
04-06-23 13:43:Iter: [90/64000]	Time 0.675 (0.729)	Data 0.630 (0.647)	Loss 2.028 (2.270)	Prec@1 20.312 (17.076)	
04-06-23 13:43:Iter: [100/64000]	Time 0.730 (0.727)	Data 0.685 (0.648)	Loss 2.065 (2.251)	Prec@1 19.531 (17.358)	
04-06-23 13:43:Iter: [110/64000]	Time 0.694 (0.725)	Data 0.650 (0.649)	Loss 2.129 (2.231)	Prec@1 17.969 (17.779)	
04-06-23 13:43:Iter: [120/64000]	Time 0.634 (0.722)	Data 0.594 (0.648)	Loss 2.020 (2.209)	Prec@1 20.312 (18.259)	
04-06-23 13:43:Iter: [130/64000]	Time 0.746 (0.719)	Data 0.698 (0.648)	Loss 1.974 (2.192)	Prec@1 25.781 (18.523)	
04-06-23 13:43:Iter: [140/64000]	Time 0.782 (0.721)	Data 0.739 (0.652)	Loss 1.891 (2.175)	Prec@1 22.656 (18.767)	
04-06-23 13:43:Iter: [150/64000]	Time 0.653 (0.721)	Data 0.604 (0.653)	Loss 1.983 (2.158)	Prec@1 17.188 (19.293)	
04-06-23 13:43:Iter: [160/64000]	Time 0.656 (0.718)	Data 0.611 (0.651)	Loss 1.811 (2.144)	Prec@1 31.250 (19.614)	
04-06-23 13:43:Iter: [170/64000]	Time 0.617 (0.715)	Data 0.583 (0.649)	Loss 1.940 (2.129)	Prec@1 25.781 (19.984)	
04-06-23 13:44:Iter: [180/64000]	Time 0.654 (0.713)	Data 0.611 (0.648)	Loss 1.824 (2.117)	Prec@1 33.594 (20.282)	
04-06-23 13:44:Iter: [190/64000]	Time 0.666 (0.710)	Data 0.623 (0.647)	Loss 1.895 (2.104)	Prec@1 31.250 (20.722)	
04-06-23 13:44:Iter: [200/64000]	Time 0.662 (0.708)	Data 0.621 (0.645)	Loss 1.848 (2.091)	Prec@1 31.250 (21.137)	
04-06-23 13:44:Iter: [210/64000]	Time 0.685 (0.706)	Data 0.640 (0.644)	Loss 1.779 (2.076)	Prec@1 30.469 (21.549)	
04-06-23 13:44:Iter: [220/64000]	Time 0.729 (0.704)	Data 0.682 (0.643)	Loss 1.916 (2.065)	Prec@1 30.469 (21.875)	
04-06-23 13:44:Iter: [230/64000]	Time 0.692 (0.704)	Data 0.650 (0.643)	Loss 1.801 (2.052)	Prec@1 32.031 (22.311)	
04-06-23 13:44:Iter: [240/64000]	Time 0.722 (0.703)	Data 0.674 (0.643)	Loss 1.769 (2.042)	Prec@1 33.594 (22.702)	
04-06-23 13:44:Iter: [250/64000]	Time 0.746 (0.702)	Data 0.691 (0.643)	Loss 1.630 (2.031)	Prec@1 37.500 (23.123)	
04-06-23 13:44:Iter: [260/64000]	Time 0.655 (0.701)	Data 0.611 (0.643)	Loss 1.735 (2.020)	Prec@1 32.812 (23.488)	
04-06-23 13:45:Iter: [270/64000]	Time 0.679 (0.700)	Data 0.627 (0.642)	Loss 1.673 (2.008)	Prec@1 41.406 (23.922)	
04-06-23 13:45:Iter: [280/64000]	Time 0.677 (0.699)	Data 0.630 (0.642)	Loss 1.767 (1.998)	Prec@1 34.375 (24.327)	
04-06-23 13:45:Iter: [290/64000]	Time 0.698 (0.698)	Data 0.652 (0.641)	Loss 1.732 (1.990)	Prec@1 27.344 (24.587)	
04-06-23 13:45:Iter: [300/64000]	Time 0.635 (0.699)	Data 0.593 (0.642)	Loss 1.665 (1.981)	Prec@1 28.906 (24.922)	
04-06-23 13:45:Iter: [310/64000]	Time 0.703 (0.699)	Data 0.658 (0.642)	Loss 1.607 (1.972)	Prec@1 37.500 (25.231)	
04-06-23 13:45:Iter: [320/64000]	Time 0.682 (0.698)	Data 0.639 (0.642)	Loss 1.561 (1.965)	Prec@1 39.062 (25.526)	
04-06-23 13:45:Iter: [330/64000]	Time 0.706 (0.697)	Data 0.667 (0.641)	Loss 1.580 (1.955)	Prec@1 39.844 (25.866)	
04-06-23 13:45:Iter: [340/64000]	Time 0.641 (0.697)	Data 0.595 (0.641)	Loss 1.547 (1.948)	Prec@1 40.625 (26.125)	
04-06-23 13:46:Iter: [350/64000]	Time 0.656 (0.695)	Data 0.609 (0.640)	Loss 1.769 (1.942)	Prec@1 29.688 (26.389)	
04-06-23 13:46:Iter: [360/64000]	Time 0.606 (0.695)	Data 0.564 (0.640)	Loss 1.794 (1.935)	Prec@1 32.031 (26.599)	
04-06-23 13:46:Iter: [370/64000]	Time 0.645 (0.694)	Data 0.602 (0.639)	Loss 1.507 (1.926)	Prec@1 42.188 (26.942)	
04-06-23 13:46:Iter: [380/64000]	Time 0.718 (0.694)	Data 0.677 (0.639)	Loss 1.587 (1.918)	Prec@1 42.969 (27.284)	
04-06-23 13:46:Iter: [390/64000]	Time 0.650 (0.693)	Data 0.601 (0.639)	Loss 1.624 (1.911)	Prec@1 35.938 (27.534)	
04-06-23 13:46:Iter: [400/64000]	Time 0.675 (0.693)	Data 0.628 (0.639)	Loss 1.537 (1.903)	Prec@1 46.875 (27.899)	
04-06-23 13:46:Iter: [410/64000]	Time 0.681 (0.693)	Data 0.636 (0.639)	Loss 1.821 (1.895)	Prec@1 35.156 (28.201)	
04-06-23 13:46:Iter: [420/64000]	Time 0.765 (0.693)	Data 0.719 (0.640)	Loss 1.634 (1.887)	Prec@1 34.375 (28.496)	
04-06-23 13:46:Iter: [430/64000]	Time 0.668 (0.693)	Data 0.623 (0.639)	Loss 1.590 (1.879)	Prec@1 46.875 (28.810)	
04-06-23 13:47:Iter: [440/64000]	Time 0.713 (0.693)	Data 0.665 (0.639)	Loss 1.527 (1.873)	Prec@1 44.531 (29.050)	
04-06-23 13:47:Iter: [450/64000]	Time 0.708 (0.693)	Data 0.663 (0.640)	Loss 1.596 (1.866)	Prec@1 45.312 (29.345)	
04-06-23 13:47:Iter: [460/64000]	Time 0.748 (0.693)	Data 0.700 (0.640)	Loss 1.490 (1.859)	Prec@1 44.531 (29.677)	
04-06-23 13:47:Iter: [470/64000]	Time 0.677 (0.693)	Data 0.636 (0.640)	Loss 1.611 (1.853)	Prec@1 35.938 (29.890)	
04-06-23 13:47:Iter: [480/64000]	Time 0.757 (0.693)	Data 0.709 (0.640)	Loss 1.585 (1.846)	Prec@1 38.281 (30.144)	
04-06-23 13:47:Iter: [490/64000]	Time 0.701 (0.693)	Data 0.654 (0.640)	Loss 1.496 (1.837)	Prec@1 46.094 (30.555)	
04-06-23 13:47:Iter: [500/64000]	Time 0.644 (0.692)	Data 0.600 (0.640)	Loss 1.440 (1.830)	Prec@1 47.656 (30.849)	
04-06-23 13:47:Iter: [510/64000]	Time 0.680 (0.692)	Data 0.627 (0.639)	Loss 1.486 (1.823)	Prec@1 43.750 (31.114)	
04-06-23 13:47:Iter: [520/64000]	Time 0.615 (0.691)	Data 0.568 (0.639)	Loss 1.319 (1.815)	Prec@1 50.781 (31.434)	
04-06-23 13:48:Iter: [530/64000]	Time 0.688 (0.691)	Data 0.649 (0.639)	Loss 1.301 (1.807)	Prec@1 45.312 (31.771)	
04-06-23 13:48:Iter: [540/64000]	Time 0.733 (0.691)	Data 0.685 (0.639)	Loss 1.446 (1.800)	Prec@1 45.312 (32.070)	
04-06-23 13:48:Iter: [550/64000]	Time 0.659 (0.691)	Data 0.615 (0.639)	Loss 1.285 (1.792)	Prec@1 53.906 (32.415)	
04-06-23 13:48:Iter: [560/64000]	Time 0.659 (0.691)	Data 0.617 (0.639)	Loss 1.477 (1.784)	Prec@1 49.219 (32.722)	
04-06-23 13:48:Iter: [570/64000]	Time 0.734 (0.691)	Data 0.699 (0.639)	Loss 1.455 (1.777)	Prec@1 50.000 (33.015)	
04-06-23 13:48:Iter: [580/64000]	Time 0.688 (0.691)	Data 0.641 (0.640)	Loss 1.310 (1.771)	Prec@1 52.344 (33.263)	
04-06-23 13:48:Iter: [590/64000]	Time 0.686 (0.691)	Data 0.644 (0.640)	Loss 1.566 (1.764)	Prec@1 39.062 (33.546)	
04-06-23 13:48:Iter: [600/64000]	Time 0.694 (0.691)	Data 0.640 (0.640)	Loss 1.359 (1.757)	Prec@1 53.125 (33.823)	
04-06-23 13:48:Iter: [610/64000]	Time 0.665 (0.691)	Data 0.621 (0.640)	Loss 1.396 (1.750)	Prec@1 47.656 (34.123)	
04-06-23 13:49:Iter: [620/64000]	Time 0.729 (0.691)	Data 0.686 (0.640)	Loss 1.251 (1.744)	Prec@1 53.125 (34.381)	
04-06-23 13:49:Iter: [630/64000]	Time 0.689 (0.691)	Data 0.641 (0.640)	Loss 1.371 (1.737)	Prec@1 53.125 (34.673)	
04-06-23 13:49:Iter: [640/64000]	Time 0.686 (0.691)	Data 0.638 (0.640)	Loss 1.311 (1.730)	Prec@1 54.688 (34.949)	
04-06-23 13:49:Iter: [650/64000]	Time 0.651 (0.691)	Data 0.610 (0.640)	Loss 1.220 (1.724)	Prec@1 56.250 (35.192)	
04-06-23 13:49:Iter: [660/64000]	Time 0.681 (0.691)	Data 0.637 (0.640)	Loss 1.157 (1.717)	Prec@1 57.812 (35.449)	
04-06-23 13:49:Iter: [670/64000]	Time 0.672 (0.691)	Data 0.628 (0.640)	Loss 1.406 (1.711)	Prec@1 45.312 (35.694)	
04-06-23 13:49:Iter: [680/64000]	Time 0.632 (0.691)	Data 0.591 (0.640)	Loss 1.310 (1.704)	Prec@1 54.688 (35.958)	
04-06-23 13:49:Iter: [690/64000]	Time 0.701 (0.691)	Data 0.649 (0.640)	Loss 1.188 (1.696)	Prec@1 56.250 (36.236)	
04-06-23 13:50:Iter: [700/64000]	Time 0.677 (0.690)	Data 0.631 (0.640)	Loss 1.364 (1.690)	Prec@1 50.781 (36.515)	
04-06-23 13:50:Iter: [710/64000]	Time 0.676 (0.690)	Data 0.630 (0.640)	Loss 1.240 (1.683)	Prec@1 53.125 (36.797)	
04-06-23 13:50:Iter: [720/64000]	Time 0.669 (0.691)	Data 0.626 (0.640)	Loss 1.096 (1.675)	Prec@1 63.281 (37.112)	
